Element / term,Case / difference,Tmax [°C],t_Tmax [min],Node_Tmax,Tmin [°C],t_Tmin [min],Node_Tmin,ΔTmax [°C],t_ΔTmax [min],Nodes_ΔTmax,ΔTmin [°C],t_ΔTmin [min],Nodes_ΔTmin
SOLAR_PANEL_1,Nominal_case,62.446544,24.200989,70005,-17.251802,56.468974,72501,8.5172763,25.209363,70005 - 72500,0.3085154,48.401978,70005 - 72501
SOLAR_PANEL_1,Hot_case,65.424782,82.686712,70005,12.147839,95.795581,72500,5.7816718,83.695086,70005 - 72500,0.18707546,10.083745,70004 - 72502
SOLAR_PANEL_1,Nominal_case - Hot_case,Δ(Tmax) = -2.9782379,Δ(t_Tmax) = -58.485723,,Δ(Tmin) = -29.399641,Δ(t_Tmin) = -39.326607,,Δ(ΔTmax) = 2.7356045,Δ(t_ΔTmax) = -58.485723,,Δ(ΔTmin) = 0.12143995,Δ(t_ΔTmin) = 38.318232,
BODY_PANEL,Nominal_case,18.865024,24.200989,10601,5.0544668,67.561094,11002,13.625953,24.200989,10601 - 11002,12.636559,56.468974,10701 - 11002
BODY_PANEL,Hot_case,35.760574,83.695086,10600,20.896836,6.0502472,11002,14.723909,82.686712,10600 - 11002,14.017352,96.803955,10701 - 11002
BODY_PANEL,Nominal_case - Hot_case,Δ(Tmax) = -16.89555,Δ(t_Tmax) = -59.494097,,Δ(Tmin) = -15.84237,Δ(t_Tmin) = 61.510846,,Δ(ΔTmax) = -1.0979559,Δ(t_ΔTmax) = -58.485723,,Δ(ΔTmin) = -1.3807937,Δ(t_ΔTmin) = -40.334981,
OBC_BOX,Nominal_case,13.744987,37.309858,31022,11.298893,56.468974,31011,2.3592793,56.468974,31022 - 31011,1.0726187,90.753708,31023 - 31011
OBC_BOX,Hot_case,30.434885,90.753708,31022,27.825964,95.795581,31011,2.591544,95.795581,31022 - 31011,1.5100832,82.686712,31022 - 31011
OBC_BOX,Nominal_case - Hot_case,Δ(Tmax) = -16.689899,Δ(t_Tmax) = -53.44385,,Δ(Tmin) = -16.527071,Δ(t_Tmin) = -39.326607,,Δ(ΔTmax) = -0.23226471,Δ(t_ΔTmax) = -39.326607,,Δ(ΔTmin) = -0.43746453,Δ(t_ΔTmin) = 8.0669963,
RADIATOR,Nominal_case,0.048351822,70.586217,35504,-7.3746169,56.468974,34002,5.6631167,13.108869,35504 - 34002,5.3148584,70.586217,35504 - 34002
RADIATOR,Hot_case,14.486733,82.686712,35504,5.555116,95.795581,34006,6.6831779,96.803955,35504 - 34006,6.150497,20.167491,35504 - 34002
RADIATOR,Nominal_case - Hot_case,Δ(Tmax) = -14.438381,Δ(t_Tmax) = -12.100494,,Δ(Tmin) = -12.929733,Δ(t_Tmin) = -39.326607,,Δ(ΔTmax) = -1.0200612,Δ(t_ΔTmax) = -83.695086,,Δ(ΔTmin) = -0.83563855,Δ(t_ΔTmin) = 50.418727,
BATTERY,Nominal_case,21.765997,56.468974,30000,18.254642,65.544345,30005,2.9753994,56.468974,30000 - 30005,0.12167469,8.0669963,30002 - 30004
BATTERY,Hot_case,38.973143,95.795581,30000,35.425306,59.494097,30005,2.9044543,96.803955,30000 - 30005,0.15804072,82.686712,30002 - 30005
BATTERY,Nominal_case - Hot_case,Δ(Tmax) = -17.207147,Δ(t_Tmax) = -39.326607,,Δ(Tmin) = -17.170664,Δ(t_Tmin) = 6.0502472,,Δ(ΔTmax) = 0.070945149,Δ(t_ΔTmax) = -40.334981,,Δ(ΔTmin) = -0.036366029,Δ(t_ΔTmin) = -74.619715,
